msan,dt,total
SKT,9/27/2014,1104
CBJ,9/28/2014,1918
PUJ,9/28/2014,2851
SKT,9/28/2014,1169
CBJ,9/29/2014,1920
PUJ,9/29/2014,2735
SKT,9/29/2014,1421
CBJ,9/30/2014,1845
PUJ,9/30/2014,2934
SKT,9/30/2014,886
CBJ,10/1/2014,2019
CBJ,10/1/2014,2608
CBJ,10/1/2014,1940
CBJ,10/1/2014,2299
CBJ,10/1/2014,2395
CBJ,10/1/2014,2255
CBJ,10/1/2014,1893
CBJ,10/1/2014,2417
CBJ,10/1/2014,1886
CBJ,10/1/2014,1975
CBJ,10/1/2014,3009
CBJ,10/1/2014,2788
PUJ,10/1/2014,2834
PUJ,10/1/2014,3063
PUJ,10/1/2014,2865
PUJ,10/1/2014,4876
PUJ,10/1/2014,3003
PUJ,10/1/2014,2705
PUJ,10/1/2014,4670
PUJ,10/1/2014,2971
PUJ,10/1/2014,3081
PUJ,10/1/2014,3016
PUJ,10/1/2014,3157
PUJ,10/1/2014,3121
SKT,10/1/2014,1106
SKT,10/1/2014,4648
SKT,10/1/2014,3788
SKT,10/1/2014,972
SKT,10/1/2014,1054
SKT,10/1/2014,901
SKT,10/1/2014,875
SKT,10/1/2014,1596
SKT,10/1/2014,1206
SKT,10/1/2014,1140
SKT,10/1/2014,1208
SKT,10/1/2014,1467
CBJ,10/2/2014,3253
PUJ,10/2/2014,3016
SKT,10/2/2014,1049
CBJ,10/3/2014,3837
CBJ,10/3/2014,1979
PUJ,10/3/2014,4256
PUJ,10/3/2014,3295
SKT,10/3/2014,1139
SKT,10/3/2014,1592
CBJ,10/4/2014,2078
PUJ,10/4/2014,3622
SKT,10/4/2014,1657
CBJ,10/6/2014,1485
PUJ,10/6/2014,1656
SKT,10/6/2014,786
CBJ,10/7/2014,1556
PUJ,10/7/2014,2008
SKT,10/7/2014,712
CBJ,10/8/2014,1850
PUJ,10/8/2014,3109
SKT,10/8/2014,890
CBJ,10/9/2014,1930
PUJ,10/9/2014,2859
SKT,10/9/2014,820
CBJ,10/10/2014,2097
PUJ,10/10/2014,3022
SKT,10/10/2014,845
CBJ,10/11/2014,1872
PUJ,10/11/2014,3114
SKT,10/11/2014,899
CBJ,10/12/2014,2434
PUJ,10/12/2014,2833
SKT,10/12/2014,891
CBJ,10/13/2014,2256
PUJ,10/13/2014,2886
SKT,10/13/2014,899
CBJ,10/14/2014,2583
PUJ,10/14/2014,3165
SKT,10/14/2014,1520
CBJ,10/15/2014,1921
PUJ,10/15/2014,3142
SKT,10/15/2014,880
CBJ,10/16/2014,1859
CBJ,10/16/2014,2304
CBJ,10/16/2014,3265
CBJ,10/16/2014,1886
PUJ,10/16/2014,3155
PUJ,10/16/2014,3251
PUJ,10/16/2014,3225
PUJ,10/16/2014,3209
SKT,10/16/2014,4787
SKT,10/16/2014,1017
SKT,10/16/2014,929
SKT,10/16/2014,1367
CBJ,10/17/2014,1974
PUJ,10/17/2014,3447
SKT,10/17/2014,1428
CBJ,10/18/2014,2023
PUJ,10/18/2014,3168
SKT,10/18/2014,1792
CBJ,10/19/2014,2255
PUJ,10/19/2014,3169
SKT,10/19/2014,1019
CBJ,10/20/2014,2031
PUJ,10/20/2014,2789
SKT,10/20/2014,865
CBJ,10/21/2014,2459
PUJ,10/21/2014,3497
SKT,10/21/2014,885
CBJ,10/22/2014,2109
PUJ,10/22/2014,2988
SKT,10/22/2014,1041
CBJ,10/23/2014,2073
PUJ,10/23/2014,3250
SKT,10/23/2014,2060
CBJ,10/24/2014,2542
PUJ,10/24/2014,2971
SKT,10/24/2014,946
CBJ,10/25/2014,2180
PUJ,10/25/2014,5734
SKT,10/25/2014,1154
CBJ,10/26/2014,2021
PUJ,10/26/2014,3188
SKT,10/26/2014,848
CBJ,10/27/2014,1959
PUJ,10/27/2014,2830
SKT,10/27/2014,998
CBJ,10/28/2014,2505
PUJ,10/28/2014,3501
