login_id,msan,dt,total
abd_halim@unifi,PUJ,8/15/2015,1
abd_halim@unifi,PUJ,8/16/2015,1
abd_halim@unifi,PUJ,8/17/2015,1
abd_halim@unifi,PUJ,8/18/2015,1
abd_halim@unifi,PUJ,8/20/2015,1
abd_halim@unifi,PUJ,8/24/2015,1
abd_halim@unifi,PUJ,8/24/2015,1
abd_halim@unifi,PUJ,8/24/2015,1
abd_halim@unifi,PUJ,8/26/2015,3
abd_halim@unifi,PUJ,8/29/2015,1
abd_halim@unifi,PUJ,9/1/2015,1
abd_halim@unifi,PUJ,9/2/2015,1
abd_halim@unifi,PUJ,9/3/2015,1
abd_halim@unifi,PUJ,9/5/2015,1
abd_halim@unifi,PUJ,9/10/2015,1
abd_halim@unifi,PUJ,9/10/2015,1
abd_halim@unifi,PUJ,9/11/2015,1
abd_halim@unifi,PUJ,9/13/2015,1
abd_halim@unifi,PUJ,9/14/2015,1
abd_halim@unifi,PUJ,9/17/2015,1
abd_halim@unifi,PUJ,9/19/2015,1
abd_halim@unifi,PUJ,9/21/2015,1
abd_halim@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,10/1/2015,2
abd_halim@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,10/1/2015,1
abd_halim@unifi,PUJ,10/1/2015,1
abdulabas@unifi,PUJ,1/3/2014,6
abdulabas@unifi,PUJ,1/4/2014,3
abdulabas@unifi,PUJ,1/4/2014,4
abdulabas@unifi,PUJ,1/5/2014,3
abdulabas@unifi,PUJ,1/7/2014,3
abdulabas@unifi,PUJ,1/8/2014,3
abdulabas@unifi,PUJ,1/9/2014,6
abdulabas@unifi,PUJ,1/10/2014,3
abdulabas@unifi,PUJ,1/11/2014,4
abdulabas@unifi,PUJ,1/12/2014,3
abdulabas@unifi,PUJ,1/13/2014,2
abdulabas@unifi,PUJ,1/14/2014,3
abdulabas@unifi,PUJ,1/15/2014,4
abdulabas@unifi,PUJ,1/17/2014,2
abdulabas@unifi,PUJ,1/18/2014,4
abdulabas@unifi,PUJ,1/19/2014,3
abdulabas@unifi,PUJ,1/20/2014,4
abdulabas@unifi,PUJ,1/21/2014,4
abdulabas@unifi,PUJ,1/22/2014,3
abdulabas@unifi,PUJ,1/23/2014,3
abdulabas@unifi,PUJ,1/24/2014,4
abdulabas@unifi,PUJ,1/25/2014,1
abdulabas@unifi,PUJ,1/26/2014,5
abdulabas@unifi,PUJ,1/28/2014,7
abdulabas@unifi,PUJ,1/29/2014,3
abdulabas@unifi,PUJ,1/29/2014,3
abdulabas@unifi,PUJ,1/29/2014,4
abdulabas@unifi,PUJ,1/29/2014,4
abdulabas@unifi,PUJ,2/1/2014,4
abdulabas@unifi,PUJ,2/2/2014,4
abdulabas@unifi,PUJ,2/3/2014,6
abdulabas@unifi,PUJ,2/4/2014,5
abdulabas@unifi,PUJ,2/4/2014,3
abdulabas@unifi,PUJ,2/4/2014,4
abdulabas@unifi,PUJ,2/5/2014,2
abdulabas@unifi,PUJ,2/7/2014,5
abdulabas@unifi,PUJ,2/8/2014,5
abdulabas@unifi,PUJ,2/10/2014,3
abdulabas@unifi,PUJ,2/13/2014,3
abdulabas@unifi,PUJ,2/14/2014,3
abdulabas@unifi,PUJ,2/15/2014,3
abdulabas@unifi,PUJ,2/16/2014,3
abdulabas@unifi,PUJ,2/17/2014,4
abdulabas@unifi,PUJ,2/18/2014,6
abdulabas@unifi,PUJ,2/19/2014,6
abdulabas@unifi,PUJ,2/20/2014,4
abdulabas@unifi,PUJ,2/21/2014,5
abdulabas@unifi,PUJ,2/22/2014,5
abdulabas@unifi,PUJ,2/23/2014,3
abdulabas@unifi,PUJ,2/24/2014,4
abdulabas@unifi,PUJ,2/25/2014,3
abdulabas@unifi,PUJ,2/26/2014,3
abdulabas@unifi,PUJ,2/27/2014,3
abdulabas@unifi,PUJ,2/28/2014,6
abdulabas@unifi,PUJ,3/1/2014,6
abdulabas@unifi,PUJ,3/3/2014,6
abdulabas@unifi,PUJ,3/4/2014,4
abdulabas@unifi,PUJ,3/4/2014,4
abdulabas@unifi,PUJ,3/4/2014,5
abdulabas@unifi,PUJ,3/4/2014,7
abdulabas@unifi,PUJ,3/4/2014,4
abdulabas@unifi,PUJ,3/4/2014,2
abdulabas@unifi,PUJ,3/5/2014,5
abdulabas@unifi,PUJ,3/6/2014,3
abdulabas@unifi,PUJ,3/7/2014,3
abdulabas@unifi,PUJ,3/9/2014,4
abdulabas@unifi,PUJ,3/10/2014,4
abdulabas@unifi,PUJ,3/11/2014,2
abdulabas@unifi,PUJ,3/12/2014,3
abdulabas@unifi,PUJ,3/13/2014,5
abdulabas@unifi,PUJ,3/18/2014,3
abdulabas@unifi,PUJ,3/19/2014,2
abdulabas@unifi,PUJ,3/20/2014,4
abdulabas@unifi,PUJ,3/23/2014,5
abdulabas@unifi,PUJ,3/26/2014,3
abdulabas@unifi,PUJ,3/31/2014,1
abdulabas@unifi,PUJ,4/1/2014,6
abdulabas@unifi,PUJ,4/2/2014,4
abdulabas@unifi,PUJ,4/2/2014,5
abdulabas@unifi,PUJ,4/2/2014,6
abdulabas@unifi,PUJ,4/2/2014,2
abdulabas@unifi,PUJ,4/2/2014,3
abdulabas@unifi,PUJ,4/2/2014,2
abdulabas@unifi,PUJ,4/2/2014,5
abdulabas@unifi,PUJ,4/2/2014,3
abdulabas@unifi,PUJ,4/2/2014,3
abdulabas@unifi,PUJ,4/2/2014,5
abdulabas@unifi,PUJ,4/2/2014,3
abdulabas@unifi,PUJ,4/2/2014,7
abdulabas@unifi,PUJ,4/2/2014,5
abdulabas@unifi,PUJ,4/3/2014,5
abdulabas@unifi,PUJ,4/4/2014,4
abdulabas@unifi,PUJ,4/5/2014,3
abdulabas@unifi,PUJ,4/6/2014,4
abdulabas@unifi,PUJ,4/7/2014,4
abdulabas@unifi,PUJ,4/8/2014,3
abdulabas@unifi,PUJ,4/9/2014,2
abdulabas@unifi,PUJ,4/10/2014,5
abdulabas@unifi,PUJ,4/12/2014,3
abdulabas@unifi,PUJ,4/13/2014,1
abdulabas@unifi,PUJ,4/14/2014,6
abdulabas@unifi,PUJ,4/15/2014,5
abdulabas@unifi,PUJ,4/20/2014,2
abdulabas@unifi,PUJ,4/21/2014,3
abdulabas@unifi,PUJ,4/22/2014,5
abdulabas@unifi,PUJ,4/23/2014,4
abdulabas@unifi,PUJ,4/25/2014,3
abdulabas@unifi,PUJ,4/27/2014,3
abdulabas@unifi,PUJ,4/30/2014,4
abdulabas@unifi,PUJ,5/1/2014,3
abdulabas@unifi,PUJ,5/2/2014,3
abdulabas@unifi,PUJ,5/3/2014,3
abdulabas@unifi,PUJ,5/4/2014,5
abdulabas@unifi,PUJ,5/5/2014,2
abdulabas@unifi,PUJ,5/5/2014,5
abdulabas@unifi,PUJ,5/5/2014,4
abdulabas@unifi,PUJ,5/5/2014,2
abdulabas@unifi,PUJ,5/5/2014,3
abdulabas@unifi,PUJ,5/5/2014,4
abdulabas@unifi,PUJ,5/5/2014,1
abdulabas@unifi,PUJ,5/5/2014,6
abdulabas@unifi,PUJ,5/5/2014,4
abdulabas@unifi,PUJ,5/5/2014,3
abdulabas@unifi,PUJ,5/6/2014,3
abdulabas@unifi,PUJ,5/7/2014,2
abdulabas@unifi,PUJ,5/8/2014,4
abdulabas@unifi,PUJ,5/9/2014,2
abdulabas@unifi,PUJ,5/10/2014,3
abdulabas@unifi,PUJ,5/11/2014,1
abdulabas@unifi,PUJ,5/12/2014,3
abdulabas@unifi,PUJ,5/13/2014,2
abdulabas@unifi,PUJ,5/14/2014,2
abdulabas@unifi,PUJ,5/15/2014,5
abdulabas@unifi,PUJ,5/16/2014,5
abdulabas@unifi,PUJ,5/17/2014,3
abdulabas@unifi,PUJ,5/18/2014,7
abdulabas@unifi,PUJ,5/19/2014,1
abdulabas@unifi,PUJ,5/20/2014,5
abdulabas@unifi,PUJ,5/21/2014,5
abdulabas@unifi,PUJ,5/22/2014,4
abdulabas@unifi,PUJ,5/24/2014,4
abdulabas@unifi,PUJ,5/25/2014,3
abdulabas@unifi,PUJ,5/27/2014,3
abdulabas@unifi,PUJ,5/28/2014,1
abdulabas@unifi,PUJ,5/29/2014,2
abdulabas@unifi,PUJ,5/30/2014,3
abdulabas@unifi,PUJ,5/31/2014,3
abdulabas@unifi,PUJ,6/1/2014,2
abdulabas@unifi,PUJ,6/2/2014,6
abdulabas@unifi,PUJ,6/2/2014,2
abdulabas@unifi,PUJ,6/2/2014,5
abdulabas@unifi,PUJ,6/3/2014,5
abdulabas@unifi,PUJ,6/4/2014,1
abdulabas@unifi,PUJ,6/5/2014,4
abdulabas@unifi,PUJ,6/6/2014,2
abdulabas@unifi,PUJ,6/7/2014,2
abdulabas@unifi,PUJ,6/8/2014,1
abdulabas@unifi,PUJ,6/11/2014,4
abdulabas@unifi,PUJ,6/12/2014,3
abdulabas@unifi,PUJ,6/13/2014,3
abdulabas@unifi,PUJ,6/14/2014,3
abdulabas@unifi,PUJ,6/15/2014,2
abdulabas@unifi,PUJ,6/16/2014,5
abdulabas@unifi,PUJ,6/17/2014,3
abdulabas@unifi,PUJ,6/18/2014,4
abdulabas@unifi,PUJ,6/19/2014,2
abdulabas@unifi,PUJ,6/26/2014,2
abdulabas@unifi,PUJ,6/27/2014,4
abdulabas@unifi,PUJ,6/28/2014,7
abdulabas@unifi,PUJ,6/29/2014,5
abdulabas@unifi,PUJ,6/30/2014,5
abdulabas@unifi,PUJ,7/1/2014,5
abdulabas@unifi,PUJ,7/1/2014,2
abdulabas@unifi,PUJ,7/1/2014,3
abdulabas@unifi,PUJ,7/1/2014,2
abdulabas@unifi,PUJ,7/1/2014,2
